"","Ticker","SEC_Company_ID"
"548","BKYI",1019034
"549","FGP",922358
"551","YUM",1041061
"553","CRTO",1576427
"556","PF",1564822
"560","OSTK",1130713
"561","HGEN",1293310
"563","AVA",104918
"564","FRSH",1592379
"565","YECO",1607741
"566","AMTD",1173431
"568","TRGP",1389170
"569","FSS",277509
"570","ANTM",1156039
"571","NK",1326110
"572","SYNT",1040426
"574","THST",1564709
"576","QHC",1650445
"577","MTCH",1575189
"579","AFL",4977
"581","WRLD",108385
"588","STFC",874977
"591","NJR",356309
"593","EDIT",1650664
"595","MTH",833079
"596","BKD",1332349
"600","WVE",1631574
"602","STI",750556
"603","EMGC",1494448
"605","FCPT",1650132
"607","INST",1355754
"610","EQBK",1227500
"611","HBAN",49196
"613","ITGR",1114483
"614","TRUP",1371285
"615","BHLB",1108134
"618","SCHW",316709
"619","CECO",1046568
"620","GLDD",1372020
"623","DNKN",1357204
"624","TUP",1008654
"625","MSI",68505
"626","SXC",1514705
"630","HPQ",47217
"631","unf",717954
"632","SCYX",1178253
"633","TDG",1260221
"634","MGPI",835011
"635","RAS",1045425
"636","KOSS",56701
"637","SRCE",34782
"639","NAUH",1399855
"640","CYTX",1095981
"642","FDC",883980
"643","MSCI",1408198
"644","CLUB",1281774
"645","ELGX",1013606
"646","DSS",771999
"647","IOTS",1395848
"650","VICR",751978
"651","MYOK",1552451
"652","FBHS",1519751
"653","ACRS",1557746
"659","OSK",775158
"661","HAE",313143
"662","ZSAN",1587221
"666","AKAO",1301501
"667","NVCR",1645113
"670","ESS",920522
"679","CCOI",1158324
"680","FBC",1033012
"681","ABTX",1642081
"684","ATAX",1059142
"685","PRU",1137774
"686","VSAT",797721
"687","BSF",1006424
"688","HAFC",1109242
"689","JACK",807882
"691","CPF",701347
"694","TAX",1528930
"695","COR",1490892
"698","ECPG",1084961
"699","APLL",1040721
"700","BOTJ",1275101
"702","SHOO",913241
"704","EDGE",1472091
"707","NUS",1021561
"708","RDUS",1428522
"709","VNCE",1579157
"710","EPR",1045450
"711","RGNX",1590877
"713","PH",76334
"715","CMA",28412
"716","ITW",49826
"718","VRA",1495320
"719","MAT",63276
"721","ISBA",842517
